Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
001540,안국약품,의약품 제조업,12130,157943706200,989.0,160.0,9.78,9.73,0.81,0.2503,
071200,인피니트헬스케어,소프트웨어 개발 및 공급업,9140,226887059400,321.0,95.0,21.48,5.49,1.1,0.1337,
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",284500,3146976550500,1507.0,420.0,18.82,43.68,7.39,0.6705,
219130,타이거일렉,전자부품 제조업,81700,513351777000,268.0,35.0,12.73,70.49,8.43,0.9876,
095610,테스,특수 목적용 기계 제조업,214000,4152720000000,972.0,222.0,17.58,64.0,9.26,1.1505,
170920,엘티씨,기초 화학물질 제조업,56500,601098769400,988.0,181.0,8.29,55.94,4.27,0.5167,
089970,브이엠,특수 목적용 기계 제조업,115900,3059170093000,889.0,301.0,30.38,59.56,14.75,1.0762,
319660,피에스케이,특수 목적용 기계 제조업,204500,5880242942000,1566.0,472.0,19.04,59.46,10.45,1.06,
252990,샘씨엔에스,전자부품 제조업,15690,947227393970,272.0,77.0,13.14,42.41,5.09,0.1683,
005430,한국공항,기타 운송관련 서비스업,85800,274522978500,1780.0,197.0,11.29,6.04,0.63,0.2316,
031980,피에스케이홀딩스,특수 목적용 기계 제조업,156200,3359421141000,280.0,92.0,20.41,35.04,6.6,0.0333,
161890,한국콜마,기타 화학제품 제조업,107200,2528103746700,7280.0,789.0,18.19,16.12,2.7,0.0361,
000810,삼성화재,보험업,661000,29556627126000,66763.0,8611.0,,15.91,1.16,0.1164,
037710,광주신세계,종합 소매업,47600,360765235600,487.0,157.0,5.51,8.12,0.42,0.0234,
222040,코스맥스엔비티,기타 식품 제조업,7800,161310960000,933.0,103.0,-6.22,-21.38,2.63,0.4855,
041830,인바디,의료용 기기 제조업,55500,742796598200,684.0,130.0,13.29,18.72,2.25,0.6456,
019210,와이지-원,기타 금속 가공제품 제조업,23900,885210726400,2078.0,388.0,10.85,18.97,1.92,0.4388,
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",104900,2080839271100,1561.0,348.0,,28.12,3.74,0.6922,
144960,뉴파워프라즈마,특수 목적용 기계 제조업,10330,450907879680,1485.0,135.0,5.96,26.42,1.4,0.4097,
160980,싸이맥스,특수 목적용 기계 제조업,41000,449532599450,405.0,47.0,7.22,33.58,2.31,0.174,
005950,이수화학,기초 화학물질 제조업,13600,361281882060,6359.0,254.0,-2.28,-81.94,3.07,0.3865,
004170,신세계,종합 소매업,610000,5742670048000,18471.0,1978.0,1.71,76.81,1.14,0.3919,
222800,심텍,전자부품 제조업,121600,4548121223400,4224.0,137.0,-22.7,-14.35,7.61,0.3653,
002990,금호건설,건물 건설업,13380,499283651600,4534.0,121.0,31.92,6.78,2.03,1.2872,
069960,현대백화점,종합 소매업,159100,3418038552000,9501.0,988.0,4.62,17.31,0.74,0.512,
353200,대덕전자,전자부품 제조업,143200,7091328737500,3463.0,513.0,11.18,74.66,8.03,0.3023,
