Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
122640,예스티,특수 목적용 기계 제조업,38500,687985925900,275.0,30.6,2.28,723.86,4.89,0.1244,CB/BW 및 유상증자 이력
034730,SK,기타 금융업,705000,40746519086000,367512.6,36731.2,9.29,15.62,1.05,0.4659,FCF 적자
402340,SK스퀘어,기타 금융업,1832000,157030479340000,3003.5,82782.9,55.09,10.11,4.35,1.4565,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
025560,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",44100,212542069000,207.0,48.9,4.6,11.59,1.45,1.5874,CB/BW 및 유상증자 이력
069960,현대백화점,종합 소매업,191600,3314526974400,9500.6,987.8,1.03,16.72,0.72,0.6357,FCF 적자
222800,심텍,전자부품 제조업,120500,4046104548000,4224.0,137.1,2.42,-14.35,6.76,0.3533,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
319660,피에스케이,특수 목적용 기계 제조업,159700,5894726299000,1565.9,471.8,7.24,59.17,10.4,0.325,정상
159010,아스플로,일반 목적용 기계 제조업,20100,176418596970,283.0,13.8,2.42,-10.32,3.46,1.9859,정상
009150,삼성전기,전자부품 제조업,1990000,94114056960000,32091.1,2805.7,2.5,119.01,9.7,2.8068,정상
004170,신세계,종합 소매업,672000,5298746541000,18471.4,1978.2,2.14,70.64,1.05,0.4224,정상
000660,SK하이닉스,반도체 제조업,2555000,1363399624245000,525762.9,376102.8,24.54,18.48,8.04,0.9962,정상
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",235500,3064015833000,1506.7,419.9,7.74,42.53,7.2,0.3634,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
089970,브이엠,특수 목적용 기계 제조업,89400,3019679945500,888.9,301.4,12.54,58.94,14.6,0.3006,CB/BW 및 유상증자 이력
023530,롯데쇼핑,종합 소매업,175000,4130158230000,35816.0,2528.8,0.84,25.25,0.27,0.0007,정상
095610,테스,특수 목적용 기계 제조업,157700,4210800000000,972.4,222.0,5.99,65.04,9.41,0.7339,CB/BW 및 유상증자 이력
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",80400,1861074134000,1561.0,348.1,5.71,25.2,3.35,0.0444,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
005930,삼성전자,통신 및 방송 장비 제조업,310000,1537571273904000,1338734.4,572328.0,9.7,21.26,3.66,0.0686,정상
032830,삼성생명,보험업,425000,63400000000000,147194.0,13578.1,1.49,22.08,0.7,0.2965,정상
028260,삼성물산,기타 전문 도매업,455000,57407323674000,104658.2,7203.6,1.55,23.74,0.93,0.0027,정상
219130,타이거일렉,전자부품 제조업,66800,474834608000,268.0,35.0,12.73,64.88,7.76,0.4837,DART 데이터 미비
004710,한솔테크닉스,전자부품 제조업,12870,339662762120,3160.0,141.1,2.33,-9.73,0.95,1.1748,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
080220,제주반도체,반도체 제조업,110800,2538436792100,1805.0,671.1,25.58,22.41,8.14,0.9494,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
093370,후성,기초 화학물질 제조업,17760,1273120767100,1414.5,92.6,-1.77,-164.82,3.71,0.848,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
052710,아모텍,전자부품 제조업,24626,231170477720,609.8,5.7,0.33,38.87,1.44,0.2511,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자, CB/BW 및 유상증자 이력"
031330,에스에이엠티,기계장비 및 관련 물품 도매업,14350,1053948006180,17953.8,3273.0,33.5,3.45,1.42,1.0047,"영업이익은 흑자이지만 영업활동현금흐름 적자, FCF 적자"
